x,y,token
-2.9879322124998815,2.1854288206320533,emma
-1.2685444331263214,-6.677685204877696,by
-6.8777899214579,-2.869496530334933,jane
-3.8276393565750233,-2.0401005070906097,volume
-2.98412495297195,-5.456696272325056,i
3.631589563516697,-6.15102910999696,chapter
-1.2222977058146076,0.6006216702936765,handsome
-0.8937677082301256,-4.050982405597961,clever
-1.2607593456147665,-6.656536267428165,and
-0.3000417829796201,-2.848341076136078,rich
-1.1996899615470882,-6.671411649320115,with
-1.5095504240880433,-6.636086024914873,a
-2.2831626059969925,1.0062161457340197,comfortable
-4.091257874744882,-5.165069679027784,home
-0.7310345563380054,-0.7094247442590371,happy
-1.9937823142687214,1.5071882720930927,disposition
-4.010654079397232,2.757563760108751,seemed
-1.4203849681805523,-6.607475495170843,to
-2.622199056015676,-1.2158871825022877,unite
-4.207295636618733,-4.524493664451653,some
-1.2056982603027788,-6.67865180470006,of
-1.179493946770861,-6.687543399142058,the
-2.183562272615312,-4.6423199331615805,best
2.2422117013800427,-2.1144606565882444,blessings
-2.6962747525511728,0.2127830074127746,existence
-5.50804264001825,-4.499144291164546,had
-5.465122918681021,-2.3146066357977353,lived
-5.561019541071628,-1.169488206099137,nearly
1.4044105851586328,-6.9775822838662585,twenty
-4.3692364771867735,-3.394221304055972,one
1.2916865269890412,-6.937600487176925,years
-1.2089494668816867,-6.66676137594459,in
-1.1094681560504953,-2.1785588667926916,world
-1.338919675487717,-4.589043972065594,very
-5.464864410952559,-3.9169998484795707,little
-0.6514654556255798,-0.5579503071194422,distress
-1.2782398916240785,-6.608528729567382,or
4.9668793108027725,2.150943489910002,vex
2.7393403748208596,3.5292811363929877,her
2.745674068035562,3.5192118123659704,she
-5.606792304272429,-4.3582792223403795,was
4.000826290915233,-4.374363395227288,youngest
0.9036753609171331,-6.922056014717457,two
3.5591575769442447,-4.9622287020170175,daughters
-3.514027154398426,-1.8158545258402539,most
-3.5623154806807373,1.3328920442338144,affectionate
-1.9453369969251102,-0.5705854943404174,indulgent
5.2968186315441885,-4.960141560952306,father
-2.179920275986947,1.0381011378773108,consequence
5.28066458044893,-4.947575758240727,sister
-6.700727232561258,2.228775020456955,s
-3.329016588805984,1.1082487095626496,marriage
-5.275184541788445,-0.33970209133833235,been
-6.122837733541612,-2.955421399221235,mistress
-1.468917373823057,-5.223129482196821,his
3.219743669573748,-4.024487851487604,house
-1.1261532240614696,-6.692110346874988,from
-5.4480371751863155,-5.222581126893052,early
-5.355553676532424,-0.05678849346863114,period
5.29729588303211,-4.960133140889473,mother
4.943882970894152,-4.416225999057512,died
-1.3907258581183233,-4.540806396502495,too
-3.1889618650399782,3.866001266166682,long
-3.5834497947487187,-6.111166388735413,ago
-1.7504108527010585,-6.503580576170232,for
-5.173554146524442,-4.732891867187049,have
-2.7822377520632604,-1.3029574764887133,more
-2.6578897710918157,-1.2647792179431723,than
-5.259597465363382,-3.634827747819816,an
1.3852316768826096,-1.9816279902262321,remembrance
-1.6814297135573057,-3.5251660548430523,place
-4.8679033946791375,-0.0653649160898928,supplied
-1.7528861050960185,0.16641500503885961,excellent
0.2679262859346301,-4.978167793009575,woman
-1.8448798030216607,-6.524244821503779,as
-1.7111239448077122,-4.02123654669023,governess
-5.078639846342653,-3.4460700024894644,who
1.414900617674377,-3.454298184932676,fallen
-5.333285901320456,0.848110558400159,short
-1.8301620556083997,1.546387631281884,affection
1.4426575913893693,-6.940282675418087,sixteen
-1.4091667218432309,-4.114678711875274,miss_taylor
-3.1024711165208148,2.1059431435432057,mr_woodhouse
-5.163429155763263,-2.41799888728939,family
-2.5697826965893995,-0.9844442721194618,less
-2.0386289519239775,-4.334409343518038,friend
-0.7694206995061534,-4.207946773833737,fond
-0.8630883906104085,-2.741059471918259,both
-1.775725762008409,-6.500045382011584,but
-1.3830329025977652,0.8416174999321702,particularly
-5.5326692272602465,3.4823170041242753,between
-1.7811435394430282,-6.533207084513065,it
-2.5717814926355977,1.5359339383387518,intimacy
1.2690304956843694,-5.621728587228597,sisters
-3.721923538006744,-2.661930437064237,even
-4.349096564732351,-3.818570761422107,before
-5.096135703759437,0.4525142831086423,ceased
1.3236300849910103,1.1097338622057917,hold
0.1839730394264221,-4.489752215352641,office
-4.301487113184118,0.39642251719114835,mildness
-1.8442960330580274,1.511158311051391,temper
-1.3109753644730824,-0.3240696659317432,hardly
-1.5353570918405388,1.1421268815792212,allowed
-1.8564072661569446,-1.9204390740734034,impose
-1.8874101399644156,-3.2174740258426238,any
-2.170970695229846,0.04781994839737482,restraint
0.6999565374317422,3.9243130474343704,shadow
-2.244582780596177,-2.3958727178487473,authority
-4.171761158128053,-0.6940174745887809,being
-4.394902760657938,-3.9008662960148768,now
1.6621461037127914,2.0739010224327985,passed
0.9591704268642292,3.5361281859971623,away
-0.8577939266924597,-4.991985126551158,they
-2.3160570887437357,-2.0559576953489573,living
3.143614118089584,0.6542432292118794,together
-2.0412430397866097,0.15208845623529516,attached
-1.1521164399543842,-0.7300315311402139,doing
-3.858498450429846,-4.509432137205642,just
-1.903476618958266,-6.073333131208468,what
-1.0476087057612224,-4.1106666841791375,liked
-2.1479402844882114,0.533333475190694,highly
2.0620958331770867,-2.9937884997968003,judgment
-4.218132906863003,-3.071568182043232,directed
-3.357644875593968,-0.7594088042883752,chiefly
-2.859773660348373,-1.188449853963716,own
-2.824877479545943,-1.0523219472597731,real
-2.259879125017537,0.3779303043478398,evils
-1.529757852883756,-4.105674812542038,indeed
-2.2062179124621286,1.4361747155787188,situation
-5.797988499973151,-4.337533228845633,were
